gender,age,year,prognosis
Male,10-15,2026,467356
Female,10-15,2026,446367
TOTAL,10-15,2026,913723
Male,15-20,2026,481247
Female,15-20,2026,460073
TOTAL,15-20,2026,941319
Male,20-25,2026,535888
Female,20-25,2026,523704
TOTAL,20-25,2026,1059592
Male,25-30,2026,560077
Female,25-30,2026,550249
TOTAL,25-30,2026,1110326
Male,30-35,2026,558055
Female,30-35,2026,551619
TOTAL,30-35,2026,1109674
Male,35-40,2026,542603
Female,35-40,2026,540334
TOTAL,35-40,2026,1082937
Male,40-45,2026,506062
Female,40-45,2026,508681
TOTAL,40-45,2026,1014743
Male,45-50,2026,501314
Female,45-50,2026,505382
TOTAL,45-50,2026,1006695
Male,50-55,2026,545047
Female,50-55,2026,553322
