"";"Onderwerpen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen";"Productie basisprijzen";"Intermediair verbruik (-)";"Bruto toegevoegde waarde basisprijzen"
"13-15 Textiel-, kleding-, lederindustrie";"2000";"4473";"3140";"1333";"1344";"3.5";"3.2";"4.1";"95.8";"94.4";"99.2"
"13-15 Textiel-, kleding-, lederindustrie";"2001";"4322";"3062";"1260";"1327";"-4.3";"-5.6";"-1.3";"96.7";"97.5";"95.0"
"13-15 Textiel-, kleding-, lederindustrie";"2002";"4196";"2948";"1248";"1269";"-4.0";"-3.9";"-4.4";"97.8";"97.7";"98.4"
"13-15 Textiel-, kleding-, lederindustrie";"2003";"4045";"2798";"1247";"1241";"-4.3";"-5.2";"-2.2";"98.5";"97.7";"100.5"
"13-15 Textiel-, kleding-, lederindustrie";"2004";"3781";"2689";"1092";"1090";"-6.6";"-4.1";"-12.2";"98.6";"97.9";"100.2"
"13-15 Textiel-, kleding-, lederindustrie";"2005";"3768";"2671";"1097";"1097";"-1.8";"-2.8";"0.6";"100.0";"100.0";"100.0"
"13-15 Textiel-, kleding-, lederindustrie";"2006";"3849";"2729";"1120";"1125";"1.3";"0.8";"2.6";"100.8";"101.3";"99.6"
"13-15 Textiel-, kleding-, lederindustrie";"2007";"4072";"2864";"1208";"1204";"4.6";"3.6";"7.1";"102.0";"102.7";"100.3"
"13-15 Textiel-, kleding-, lederindustrie";"2008";"3868";"2702";"1166";"1171";"-6.3";"-7.8";"-2.7";"103.4";"105.0";"99.5"
"13-15 Textiel-, kleding-, lederindustrie";"2009";"3495";"2395";"1100";"1048";"-10.7";"-10.7";"-10.5";"104.5";"104.3";"105.0"
"13-15 Textiel-, kleding-, lederindustrie";"2010**";"3872";"2640";"1232";"1199";"9.7";"7.6";"14.5";"105.5";"106.8";"102.7"
"13-15 Textiel-, kleding-, lederindustrie";"2011*";"4131";"2856";"1275";"1253";"2.7";"1.9";"4.5";"109.6";"113.5";"101.8"
"16 Houtindustrie";"1988";"1479";"1017";"462";"814";".";".";".";"71.0";"80.4";"56.7"
"16 Houtindustrie";"1989";"1580";"1101";"479";"819";"3.6";"4.9";"0.6";"73.3";"83.0";"58.5"
"16 Houtindustrie";"1990";"1615";"1122";"493";"811";"-1.2";"-1.3";"-1.0";"75.8";"85.6";"60.8"
"16 Houtindustrie";"1991";"1630";"1102";"528";"847";"0.2";"-1.6";"4.5";"76.3";"85.5";"62.3"
"16 Houtindustrie";"1992";"1689";"1119";"570";"873";"2.7";"2.5";"3.0";"77.0";"84.7";"65.3"
"16 Houtindustrie";"1993";"1714";"1137";"577";"851";"-0.5";"0.5";"-2.5";"78.5";"85.6";"67.8"
"16 Houtindustrie";"1994";"1826";"1191";"635";"935";"4.0";"1.0";"9.9";"80.5";"88.8";"67.9"
"16 Houtindustrie";"1995";"1949";"1253";"696";"980";"4.1";"3.8";"4.7";"82.5";"90.0";"71.0"
"16 Houtindustrie";"1996";"1987";"1300";"687";"961";"1.9";"4.0";"-1.9";"82.5";"89.8";"71.5"
"16 Houtindustrie";"1997";"2114";"1387";"727";"1009";"4.8";"4.8";"4.9";"83.8";"91.4";"72.1"
"16 Houtindustrie";"1998";"2297";"1495";"802";"1107";"6.8";"5.2";"9.8";"85.2";"93.7";"72.4"
"16 Houtindustrie";"1999";"2322";"1503";"819";"1099";"-0.3";"-0.1";"-0.7";"86.4";"94.3";"74.5"
"16 Houtindustrie";"2000";"2475";"1571";"904";"1095";"1.9";"3.2";"-0.4";"90.4";"95.5";"82.5"
"16 Houtindustrie";"2001";"2575";"1568";"1007";"1111";"-0.5";"-1.6";"1.4";"94.5";"96.8";"90.6"
"16 Houtindustrie";"2002";"2488";"1569";"919";"959";"-5.9";"-0.9";"-13.7";"97.0";"97.8";"95.9"
"16 Houtindustrie";"2003";"2487";"1483";"1004";"996";"-1.3";"-4.3";"3.9";"98.2";"96.6";"100.8"
"16 Houtindustrie";"2004";"2532";"1511";"1021";"1020";"1.5";"0.9";"2.4";"98.5";"97.5";"100.1"
"16 Houtindustrie";"2005";"2630";"1595";"1035";"1035";"2.3";"2.9";"1.5";"100.0";"100.0";"100.0"
"16 Houtindustrie";"2006";"2825";"1762";"1063";"1051";"4.4";"6.3";"1.5";"102.8";"103.9";"101.1"
"16 Houtindustrie";"2007";"3189";"1947";"1242";"1107";"4.6";"4.1";"5.4";"111.0";"110.3";"112.2"
"16 Houtindustrie";"2008";"3208";"1904";"1304";"1099";"-2.5";"-3.7";"-0.7";"114.6";"112.0";"118.6"
"16 Houtindustrie";"2009";"2730";"1620";"1110";"944";"-13.0";"-12.2";"-14.1";"112.1";"108.6";"117.6"
"16 Houtindustrie";"2010**";"2588";"1609";"979";"905";"-3.7";"-3.3";"-4.1";"110.3";"111.6";"108.2"
"16 Houtindustrie";"2011*";"2739";"1718";"1021";"951";"3.8";"3.0";"5.1";"112.5";"115.7";"107.3"
